"message length","decode p = 3","fast decode p = 3","decode p = 5","fast decode p = 5","decode p = 7","fast decode p = 7","decode p = 11","fast decode p = 11","decode p = 13","fast decode p = 13","decode p = 17","fast decode p = 17","decode p = 19","fast decode p = 19","decode p = 29","fast decode p = 29","decode p = 37","fast decode p = 37","decode p = 41","fast decode p = 41","decode p = 73","fast decode p = 73","decode p = 97","fast decode p = 97","decode p = 113","fast decode p = 113","decode p = 193","fast decode p = 193","decode p = 257","fast decode p = 257","decode p = 449","fast decode p = 449","decode p = 577","fast decode p = 577","decode p = 641","fast decode p = 641","decode p = 769","fast decode p = 769","decode p = 1153","fast decode p = 1153"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,140,0,15,0,16,0,47,0,156,0,31,0
2,,,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,15,0,141,0,16,0,0,0,32,0,141,16,47,0
3,,,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,16,0,0,0,16,0,156,0,15,0,16,0,46,0,140,0,32,0
4,,,,,,,,,,,0,0,,,,,,,0,0,0,0,0,0,0,0,16,0,141,0,16,0,15,0,47,0,140,0,31,0
5,,,,,,,,,,,0,0,,,,,,,0,0,0,0,0,0,0,0,15,0,141,0,0,0,16,0,32,0,141,16,47,0
6,,,,,,,,,,,0,0,,,,,,,0,0,0,0,15,0,0,0,0,0,156,0,0,0,15,0,46,0,140,0,47,0
7,,,,,,,,,,,0,0,,,,,,,0,0,0,0,0,0,16,0,0,0,141,15,15,0,0,0,47,0,141,0,31,0
8,,,,,,,,,,,0,0,,,,,,,,,,,0,0,0,0,15,0,141,0,16,0,0,0,32,0,156,0,31,0
9,,,,,,,,,,,0,0,,,,,,,,,,,0,0,0,0,16,0,140,0,16,0,16,0,31,0,140,0,47,0
10,,,,,,,,,,,0,0,,,,,,,,,,,0,0,0,0,16,0,156,0,15,0,15,0,47,0,141,0,31,0
11,,,,,,,,,,,0,0,,,,,,,,,,,0,0,0,0,15,0,141,16,0,16,16,0,47,0,141,0,31,0
12,,,,,,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,16,140,16,0,0,16,0,31,0,140,0,47,0
